"Ano","Quantidade de Contribuintes","Número Médio Mensal Contrib","Valor  das Remunerações R$","Faixa de Idade","Estatística Pessoa Física","Sexo"
"2006","2412885","1809061,50","20090149589,53","35 a 39 anos","Quantidade de Contribuintes","Feminino"
"2006","3108","2403,92","24763919,07","35 a 39 anos","Quantidade de Contribuintes","Ignorado"
"2006","3052294","2308324,00","40607577573,25","40 a 44 anos","Quantidade de Contribuintes","Masculino"
"2006","2177266","1658838,08","19116796437,41","40 a 44 anos","Quantidade de Contribuintes","Feminino"
"2006","2335","1851,25","16587728,62","40 a 44 anos","Quantidade de Contribuintes","Ignorado"
"2006","2434452","1849384,00","36068960372,81","45 a 49 anos","Quantidade de Contribuintes","Masculino"
"2006","1718935","1317594,67","15730536363,53","45 a 49 anos","Quantidade de Contribuintes","Feminino"
"2006","1862","1538,25","13383638,01","45 a 49 anos","Quantidade de Contribuintes","Ignorado"
"2006","1796582","1358298,42","27725806281,47","50 a 54 anos","Quantidade de Contribuintes","Masculino"
"2006","1223779","932910,33","10479393171,39","50 a 54 anos","Quantidade de Contribuintes","Feminino"
"2006","1563","1314,50","12727040,01","50 a 54 anos","Quantidade de Contribuintes","Ignorado"
"2006","1089181","804309,33","14794401871,58","55 a 59 anos","Quantidade de Contribuintes","Masculino"
"2006","777754","595232,58","5891933598,95","55 a 59 anos","Quantidade de Contribuintes","Feminino"
"2006","1130","945,92","8417197,50","55 a 59 anos","Quantidade de Contribuintes","Ignorado"
"2006","557015","405727,92","6440982688,75","60 a 64 anos","Quantidade de Contribuintes","Masculino"
"2006","335484","237317,25","2250007714,50","60 a 64 anos","Quantidade de Contribuintes","Feminino"
"2006","518","425,33","3855093,63","60 a 64 anos","Quantidade de Contribuintes","Ignorado"
"2006","208014","146452,50","2266089948,69","65 a 69 anos","Quantidade de Contribuintes","Masculino"
"2006","108998","78563,00","716238580,88","65 a 69 anos","Quantidade de Contribuintes","Feminino"
"2006","191","153,58","1518494,12","65 a 69 anos","Quantidade de Contribuintes","Ignorado"
"2006","128842","95427,00","1407376185,79","70 anos e mais","Quantidade de Contribuintes","Masculino"
"2006","59771","42960,75","405160595,72","70 anos e mais","Quantidade de Contribuintes","Feminino"
"2006","398","247,17","2110493,93","70 anos e mais","Quantidade de Contribuintes","Ignorado"
"2006","34570","28516,17","338709645,82","Ignorada","Quantidade de Contribuintes","Masculino"
"2006","20183","16828,67","146786389,55","Ignorada","Quantidade de Contribuintes","Feminino"
